year,registered_people,registered_rows,under_review_people,under_review_rows,open_files_people,open_files_rows,expunged_people,expunged_rows,expunged_petition_people,expunged_petition_rows,expunged_auto_people,expunged_auto_rows,denied_people,denied_rows,closed_ineligible_people,closed_ineligible_rows,no_michigan_convictions_people,no_michigan_convictions_rows,no_client_response_people,no_client_response_rows,client_not_interested_people,client_not_interested_rows,expungement_success_rate
2019,582,697,54,54,7,11,456,551,437,526,22,25,1,1,42,44,6,6,25,28,2,2,0.9978
2020,1212,1362,271,272,33,79,702,769,656,713,49,56,2,2,142,144,13,14,69,75,7,7,0.9972
2021,4137,5535,930,973,159,260,2283,3382,2085,3098,241,284,13,15,526,549,45,52,254,271,32,33,0.9943
2022,2675,4572,29,42,122,196,2106,3544,1900,2959,418,585,21,24,291,312,49,130,191,293,27,31,0.9901
2023,9515,15111,1026,1129,393,689,3225,5776,1775,2588,1879,3187,32,36,3006,3123,313,1612,1738,2542,109,204,0.9902
2024,3309,7118,36,58,298,526,1809,3776,1593,2953,568,823,40,56,1246,1385,87,795,217,483,24,39,0.9784
2025,6034,10023,518,640,932,2116,1209,2204,890,1500,466,704,13,19,3446,3749,143,764,292,468,45,63,0.9894
2026,612,994,223,311,123,244,8,10,0,0,8,10,0,0,261,291,10,129,4,7,2,2,1.0
Total,24176,45412,3066,3479,1912,4121,8734,20012,7450,14337,3223,5674,118,153,8862,9597,659,3502,2602,4167,233,381,0.9867
